TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
420	Psycho	Psycho		1960	6392	967	6.61	100	9.25		25 October 2009
601	The Public Enemy	Public Enemy, The		1931	4917	488	10.08	127	11.75		15 February 2012
525	Quatre Cents Coups, Les	Quatre Cents Coups, Les		1959	1649	119	13.86	71	14.30	Released in US as The 400 Blows. Frame captures from first 30 minutes only.	02 November 2011
943	Raising Arizona	Raising Arizona		1987	5509	1289	4.27	89	5.24		06 August 2014
442	Becky Falls into Troubled Love	Real World, The	1992-07-09		1398	469	2.98	15	2.11		14 April 2010
443	Julie in a Homeless Shelter?	Real World, The	1992-07-16		1413	370	3.82	22	3.35		14 April 2010
444	He's So Ugly He's Cute!	Real World, The	1992-07-23		1357	308	4.41	36	4.47		14 April 2010
445	Julie Thinks Kevin is Psycho!	Real World, The	1992-07-30		1385	243	5.70	32	5.30		14 April 2010
446	WWF is in the House!	Real World, The	1992-08-06		1358	417	3.26	22	2.63		14 April 2010
795	Return of the Secaucus Seven	Return of the Secaucus Seven		1979	5991	523	11.46	176	15.96		24 October 2013
78	Life and Stuff	Roseanne	1988-10-18		1262	264	4.78	30	4.45		17 March 2008
